M2	R2	Per	Sep	logJ	logjtot	logMLR2	zeta	logT2	log(g2)	logL2	Pdot	logt	BMag	VMag	RMag	IMag	JMag	HMag	KMag	SpT
Msun	Rsun	h	Rsun	[10-7J.s]	[10-7N.m]	[Msun/yr]	 	[K]	[cm2/s]	[10-7W]	s/s	[yr]	mag	mag	mag	mag	mag	mag	mag	
------	------	------	------	------	------	---------	------	------	------	------	---------	--------	-----	-----	-----	-----	-----	-----	-----	----
 0.200	 0.229	2.3132	 0.869	50.938	34.147	         	 0.770	 3.517	 5.019	31.327	-4.04e-13	 8.78273	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.3142	 0.870	50.939	34.147	         	 0.770	 3.517	 5.019	31.327	-4.04e-13	 8.78253	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.3152	 0.870	50.939	34.146	         	 0.770	 3.517	 5.019	31.327	-4.04e-13	 8.78232	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.3162	 0.870	50.939	34.146	         	 0.770	 3.517	 5.019	31.327	-4.03e-13	 8.78212	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.3172	 0.870	50.939	34.146	         	 0.770	 3.517	 5.019	31.327	-4.03e-13	 8.78192	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.3182	 0.871	50.939	34.145	         	 0.770	 3.517	 5.019	31.327	-4.03e-13	 8.78172	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.3192	 0.871	50.939	34.145	         	 0.770	 3.517	 5.019	31.327	-4.02e-13	 8.78151	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.3202	 0.871	50.939	34.144	         	 0.770	 3.517	 5.019	31.327	-4.02e-13	 8.78131	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.3212	 0.871	50.939	34.144	         	 0.770	 3.517	 5.019	31.327	-4.02e-13	 8.78110	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.3222	 0.872	50.939	34.143	         	 0.770	 3.517	 5.019	31.327	-4.02e-13	 8.78090	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.3232	 0.872	50.939	34.143	         	 0.770	 3.517	 5.019	31.327	-4.01e-13	 8.78070	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
