# Porb (d) / Porb_err (d) / Psh (d) / Psh (d)
0.05731 0.00002 0.058094 0.000007 #SDSS J1339/V355 UMa (2011,K12,B,Q=A) # Porb from Gaensicke 2006
0.057145 0.000002 0.057833 0.000009 #OT J0120 (2010,K12,B,Q=A) # Porb from Nakagawa 2013
#0.0660508707 0.0000000002 0.067583 0.000026 #OT J0431/CSS110113 (2011,K12,B,Q=B)
0.0615 0.0005 0.063080 0.000081 #OT J0754/CSS110414 (2011,K12,B,Q=C) # Porb from Breedt 2014
0.0796 0.0006 0.082830 0.000013 #OT J102616/CSS101130 (2010,K12,B,Q=B) # Porb from Breedt 2014


# Kato 2013
#0.017029 0.000020 0.017265 0.000002 #CR Boo (2012,K13,B,Q=B) # AM CVn-type
0.05422 0.00002 0.055022 0.000026 #PR Her (2011,K13,B,Q=C) # Porb from K13
0.05432391 0.00000001 0.055000 0.000008 #BW Scl (2011,K13,B,Q=A) # Porb from Augustijn 1997
0.0682 0.0006 0.069692 0.000055 #V1212 Tau (2011,K13,B,Q=C) # Porb from Shears 2011
#0.0778805320 0.0000000002 0.081090 0.000048 #PU UMa/SDSS J0901 (2012,K13,B,Q=B)
0.0575175 0.0000062 0.058151 0.000021 #SDSS J220553 (2011,K13,B,Q=B) # Porb from Southworth 2008
0.0596 0.0009 0.061054 0.000109 #OT J105122/CSS120101 (2012,K13,B,Q=C) # Porb from Atel 3889
0.05823 0.00015 0.059460 0.000076 #OT J170609/CSS090205 (2011,K13,B,Q=C) # Porb from Thorstensen 2012
0.07168 0.00001 0.072342 0.000018 #OT J184228/V529 Dra (2011,K13,B,Q=B) # Porb from K13
0.05865 0.00001 0.060045 0.000026 #OT J210950/V624 Peg (2011,K13,B,Q=B) # Porb from K13
0.09273 0.00003 0.097147 0.000021 #OT J214738/CSS111004 (2011,K13,B,Q=B) # Porb from K13
0.091383 0.000006 0.096333 0.000106 #TCP J084616 (2012,K13,B,Q=C) # Porb from K13


# Kato 2014a
0.06310 0.00009 0.065150 0.000027 #V1227 Her (2012,K14a,B,Q=B) # Porb from Thorstensen 2015
0.068440 0.000008 0.069860 0.000043 #CSS J150904/CSS130324 (2013,K14a,B,Q=C) # Porb from K14a
0.1057216 0.0000001 0.111210 0.000042 #CSS J203937/CSS120813 (2012,K14a,B,Q=B) # Porb from K14a
0.0655022 0.000001 0.067557 0.000029 #MASTER J042609 (2012,K14a,B,Q=C) # Porb from K14a
0.05588 0.00009 0.056121 0.000020 #MASTER J094759 (2013,K14a,B,Q=B) # Porb from K14a
0.05684 0.00002 0.057519 0.000010 #MASTER J181953 (2013,K14a,B,Q=B) # Porb from K14a
0.06052 0.00018 0.061307 0.000009 #MASTER J203749 (2012,K14a,B,Q=C) # Porb from Nakata 2013
0.059732 0.000003 0.060227 0.000008 #MASTER J211258 (2012,K14a,B,Q=B) # Porb from Nakata 2013
0.05423 0.00002 0.054886 0.000010 #CSS130106/OT J112619 (2013,K14a,B,Q=B) # Porb from K14a
0.05277 0.00002 0.053438 0.000012 #OT J232727/V681 Peg (2012,K14a,B,Q=B) # Porb from K14a
0.05787 0.00002 0.059026 0.000026 #PNV J062703/V805 Aur (2013,K14a,B,Q=C) # Porb from K14a
0.07625 0.00005 0.076486 0.000013 #SSS J122221 (2013,K14a,B,Q=B) # Porb from Neustroev 2017
0.061007 0.000014 0.061899 0.000023 #TCP J153756 (2013,K14a,B,Q=C) # Porb from K14a


# Kato 2014b
0.08825 0.00028 0.092699 0.000056 #GZ Cnc (2014,K14b,B,Q=C) # Porb from Tappert 2003
0.0994 0.0001 0.105299 0.000061 #MN Dra (2012,K14b,B,Q=C) # Porb from Bakowska et al. 2017
#0.019692 0.000020 0.019897 0.000003 #CP Eri (2013,K14b,B,Q=B) # AM CVn-type
0.0599 0.0002 0.061503 0.000032 #V521 Peg (2013,K14b,B,Q=B) # Porb from Rodriguez-gil 2005
0.07596146514 0.0000000052 0.078675 0.000025 #V893 Sco (2013,K14b,B,Q=B) # Porb from Kato 2017
0.055348 0.000002 0.056186 0.000010 #ASASSN-13ck (2013,K14b,B,Q=A) # Porb from K14b
0.0561904 0.0000003 0.057067 0.000011 #MASTER J005740 (2013,K14b,B,Q=B) # Porb from K14b
0.05787 0.0002 0.058502 0.000020 #CSS130905/OT J210016 (2013,K14b,B,Q=C) # Porb from K14b
0.05706 0.0002 0.058382 0.000010 #PNV J191501/V1838 Aql (2013,K14b,B,Q=A) # Porb from K14b
0.057255 0.000020 0.057868 0.000014 #TCP J233822 (2013,K14b,B,Q=A) # Porb from K14b


# Kato 2015
0.05594 0.00002 0.056911 0.000028 #FI Cet (2014,K15,B,Q=B) # Porb from K15
0.06613 0.00002 0.068026 0.000024 #BC Dor/Cal 86 (2015,K15,B,Q=C) # Porb from Woudt 2005
0.0748 0.0005 0.076973 0.000025 #LY Hya (2014,K15,C,Q=C) # Porb from Still 1994
0.07674 0.00017 0.079942 0.000021 #HY Psc (2014,K15,B,Q=C) # Porb from Gaensicke 2009
0.05856723 0.00000008 0.05998 0.00002 #CC Scl (2014,K15,B,Q=C) # Porb from K15b
#0.065769292 0.000000002 0.067506 0.000242 #NSV 4618/SSS130413 (2015,K15,C,Q=C)
0.079650060 0.000000010 0.083098 0.000042 #ASASSN-13cx (2014,K15,B,Q=B)
#0.060310649 0.000000002 0.062059 0.000055 #ASASSN-14ag (2014,K15,B,Q=C)
0.05838 0.00002 0.060008 0.000013 #ASASSN-14cl (2014,K15,B,Q=A)
0.05660 0.00002 0.057354 0.000011 #ASASSN-14cq (2014,K15,B,Q=B)
0.059917 0.000020 0.060413 0.000007 #ASASSN-14cv (2014,K15,B,Q=A)
0.05488 0.00002 0.056088 0.000016 #ASASSN-14gx (2014,K15,B,Q=B)
0.076857 0.000004 0.079366 0.000028 #ASASSN-14id (2014,K15,B,Q=C)
0.05539 0.00002 0.055949 0.000005 #ASASSN-14jf (2014,K15,B,Q=B)
0.054417 0.000015 0.055102 0.000013 #ASASSN-14jv (2014,K15,B,Q=B)
0.05563 0.00002 0.056702 0.000009 #ASASSN-15bp (2015,K15,B,Q=A)
0.076830311 0.000000008 0.080049 0.000039 #ASASSN-15bu (2015,K15,B,Q=C)
0.045048 0.000020 0.045591 0.000003 #CSS130418/CSS J174033 (2014,K15,B,Q=A)
0.05615 0.00002 0.057437 0.000015 #OT J030929/SDSS J0309 (2014,K15,B,Q=B)
0.054523 0.000020 0.055046 0.000011 #OT J213806/V627 Peg (2014,K15,B,Q=A)
0.05456 0.00002 0.055595 0.000023 #OT J230523/SDSS J2305 (2014,K15,B,Q=C)
0.059558 0.000020 0.060092 0.000009 #PNV J171442 (2014,K15,B,Q=A)
0.05973 0.00003 0.060282 0.000015 #PNV J172929 (2014,K15,B,Q=B)
#0.03355 0.00002 0.033714 0.000005 #SDSS J090221 (2014,K15,B,Q=A) # AM CVn-type


# Kato 2016
0.07326 0.00021 0.074283 0.000011 #KV And (2015,K16,B,Q=B) # Porb from Patterson 2003
0.09903 0.00009 0.105407 0.000044 #V1006 Cyg (2015,K16,B,Q=B) # Porb from Sheets 2007
0.08012 0.00008 0.082793 0.000062 #V493 Ser/SDSS J1556 (2015,K16,B,Q=B) # Porb from Thorstensen 2015
0.04932 0.00005 0.049955 0.000009 #ASASSN-15cy (2015,K16,B,Q=C) # Porb from vsnet-alert 18327
0.06490 0.00002 0.066726 0.000034 #ASASSN-15gq (2015,K16,B,Q=B)
0.05541 0.00002 0.056105 0.000007 #ASASSN-15hd (2015,K16,B,Q=B)
0.06297 0.00002 0.063720 0.000027 #ASASSN-15na (2015,K16,B,Q=C)
0.05517 0.00004 0.055854 0.000009 #ASASSN-15ni (2015,K16,B,Q=B)
0.050457 0.000020 0.050916 0.000002 #ASASSN-15po (2015,K16,B,Q=A)
0.05757 0.00002 0.058254 0.000024 #ASASSN-15pu (2015,K16,B,Q=B)
0.0870484 0.0000007 0.091065 0.000066 #ASASSN-15sl (2015,K16,B,Q=C)
0.055266 0.000007 0.055805 0.000012 #ASASSN-15uj (2015,K16,B,Q=B)
0.056109 0.000002 0.056857 0.000012 #ASASSN-15ux (2015,K16,B,Q=C)
0.05346 0.00002 0.054027 0.000006 #ASASSN-16bh (2016,K16,B,Q=A)
0.05934 0.00013 0.060513 0.000071 #ASASSN-16bu (2016,K16,B,Q=B)
#0.0587045 0.0000002 0.059720 0.000088 #CRTS J200331/SSS100615 (2015,K16,B,Q=C)
0.06663 0.00007 0.069013 0.000021 #PMJ03338 (2015,K16,B,Q=A) # Porb from Skinner 2014
0.0583110901 0.0000000007 0.05958 0.00030 #SDSS J074859 (2015,K16,B,Q=C) # Porb from K16
0.054087 0.000005 0.054912 0.000018 #SDSS J145758 (2015,K16,B,Q=C) # Porb from Uthas 2011
0.07889 0.00010 0.079327 0.000093 #SDSS J164248 (2016,K16,B,Q=C) # Porb from Southworth 2008


# Kato 2017
0.05597 0.00003 0.056645 0.000014 #SDSS J0050/GS Cet (2016,K17,B,Q=A) 
0.05610 0.00002 0.057344 0.000024 #ASASSN-16da (2016,K17,B,Q=B) 
0.064197 0.000020 0.064507 0.000005 #ASASSN-16dt (2016,K17,B,Q=A)
0.075478 0.000020 0.077880 0.000003 #ASASSN-16eg (2016,K17,B,Q=A)
0.05623 0.00003 0.056936 0.000013 #ASASSN-16fu (2016,K17,B,Q=B)
0.05499 0.00006 0.055644 0.000041 #ASASSN-16hj (2016,K17,B,Q=B)
0.05762 0.00002 0.058484 0.000015 #ASASSN-16is (2016,K17,B,Q=C)
0.06495 0.00005 0.065462 0.000039 #ASASSN-16iw (2016,K17,B,Q=B)
0.06305 0.00002 0.064397 0.000021 #ASASSN-16jb (2016,K17,B,Q=A)
0.060337 0.000005 0.060934 0.000015 #ASASSN-16js (2016,K17,B,Q=A)
0.05416 0.00001 0.054608 0.000036 #ASASSN-16lo (2016,K17,B,Q=C)
0.05548 0.00007 0.056241 0.000017 #ASASSN-16oi (2016,K17,B,Q=B)
0.05494 0.00006 0.054992 0.000013 #ASASSN-16os (2016,K17,B,Q=B)
0.05393 0.00003 0.054591 0.000013 #ASASSN-17aa (2017,K17,B,Q=B)
0.05467 0.00005 0.055367 0.000010 #ASASSN-17bl (2017,K17,B,Q=C)
0.05303 0.00002 0.053991 0.000014 #ASASSN-17cn (2017,K17,B,Q=B)
0.06550168 0.00000001 0.067624 0.000016 #MASTER J042609 (2016,K17,B,Q=B)
0.0612858 0.0000003 0.061999 0.000067 #MASTER J220559 (2016,K17,B,Q=C)
#0.0677497026 0.0000000002 0.070362 0.000044 #SDSS J1152 (2017,K17,B,Q=B)

# vsnet-alerts
0.05709 0.00004 0.05788 0.00003 #ASASSN-17es (2017,vsnet-alert 20972,B,Q=?)
0.06096 0.0001 0.0624 0.0002 #ASASSN-17fn (2017,vsnet-alert 20997,B,Q=?)
0.0615364 0.0000003 0.06319 0.00001 #ASASSN-17fo (2017,vsnet-alert 21000,B,Q=?)
0.05354 0.00004 0.0542 0.0002 #ASASSN-17fz (2017,vsnet-alert 21026,B,Q=?)
0.056789 0.000002 0.057845 0.000006 #ASASSN-17jf (2017,vsnet-alert 21298,B,Q=?)








































